231;Money Idol Exchanger;マネーアイドルエクスチェンジャー
223;Real Bout Garou Densetsu Special;リアルバウト餓狼伝説スペシャル
233;Magical Drop III;マジカルドロップ III
93;Neo BomberMan;ネオ・ボンバーマン
207;Neo Mr.Do!;NEO ミスター・ドゥ!
232;The King of Fighters '97;ザ・キング・オブ・ファイターズ'97
236;~Ucchan Nanchan no Honou no Challenger~;Ultra Denryuu IraIra Bou;ウルトラ電流イライラ棒
238;Shock Troopers;ショックトルーパーズ
234;Bakumatsu Roman - Gekka no Kenshi;幕末浪漫 月華の剣士
239;Blazing Star ;ブレイジングスター
241;Metal Slug 2;メタルスラッグ 2
240;Real Bout Garou Densetsu 2 ~The New Comers~;リアルバウト餓狼伝説 2
244;Neo Geo Cup '98 ~The Road to the Victory~;ネオジオカップ'98
245;Breakers Revenge;ブレイカーズ・リベンジ
242;The King of Fighters '98 ~Dream Match Never Ends~;ザ・キング・オブ・ファイターズ'98
246;Shock Troopers 2nd Squad;ショックトルーパーズ セカンドスカッド
243;Bakumatsu Roman Dai Ni Maku - Gekka no Kenshi;幕末浪漫第二幕 月華の剣士
247;Flip Shot;フリップショット
250;Metal Slug X;メタルスラッグ X
249;Captain Tomaday;キャプテン・トマディ
251;The King of Fighters '99 ~Millenium Battle~;ザ・キング・オブ・ファイターズ'99
255;Prehistoric Isle 2 ~Genshitou~;プレヒストリックアイル 2 原始島
253;Garou - Mark of the Wolves;餓狼 MARK OF THE WOLVES
254;Strikers 1945 Plus;ストライカーズ 1945 PLUS
256;Metal Slug 3;メタルスラッグ 3
257;The King of Fighters 2000;ザ・キング・オブ・ファイターズ 2000
260;Nightmare in the Dark;ナイトメア・イン・ザ・ダーク
261;Sengoku Denshou 2001;戦国伝承 2001
70;Zupapa!;ズパパ!
262;The King of Fighters 2001;ザ・キング・オブ・ファイターズ 2001
263;Metal Slug 4;メタルスラッグ 4
264;Rage of the Dragons;レイジ・オブ・ザ・ドラゴンズ
265;The King of Fighters 2002;ザ・キング・オブ・ファイターズ 2002
266;Shin Gouketsuji Ichizoku ~ Toukon Matrimelee;新豪血寺一族 闘婚 ～Matrimelee～
269;SVC Chaos - SNK vs. Capcom ;SNK vs CAPCOM SVC CHAOS
270;Samurai Spirits Zero;サムライスピリッツ零
268;Metal Slug 5;メタルスラッグ 5
271;The King of Fighters 2003;ザ・キング・オブ・ファイターズ 2003
267;Pochi to Nyaa~;ポチッとにゃ~
272;Samurai Spirits Zero Special;サムライスピリッツ零 SPECIAL
 ;;MVS FOREIGN ONLY (NEVER RELEASED IN JAPAN);; ;;219;Futsal ~5 on 5 Mini Soccer~;フットサル 5オン5 ミニサッカー
86;Tecmo World Soccer '96;テクモワールドサッカー'96
208;Kunio no Nekketsu Toukyuu [DodgeBall] Densetsu;くにおの熱血闘球伝説
235;Puzzle de Pon! R;パズル de ポン! R
237;Gapporin;ガッポリン
248;Puzzle Bobble 2;パズルボブル 2
252;Musashi Ganryuki;武蔵厳流記
259;Bang Bead;バン・ビード
 ;;CD ONLY FULL LIST (OFFICIAL RELEASE IN JAPAN);; ;;219;Futsal ~5 on 5 Mini Soccer~;フットサル 5オン5 ミニサッカー
54;Crossed Swords II;クロススウォードII
85;Shinsetsu Samurai Spirits Bushidouretsuden;真説サムライスピリッツ 武士道烈伝
91;ADK World;ADKワールド
98;Idol Mahjong Final Romance 2;アイドル麻雀 ファイナルロマンス 2
205;Neo Geo CD Special;ネオジオCDスペシャル
211;Oshidashi Zintrick;押し出しジントリック
220;Choutetsu Brikin'ger;超鉄ブリキンガー
229;The King of Fighters '96 Neo Geo Collection;ザ・キング・オブ・ファイターズ'96 ネオジオコレクション
8;Sunshine;サンシャイン
12;Mystic Wand;ミスティックウォンド
26;Fun Fun Bros;ファンファンブラザーズ
28;Dunk Star;ダンクスター
